Year,Month,CO2,Temp,CO2_emissions,time_index,CO2_growth,CO2_ma12,Temp_ma12,CO2_lag1,CO2_lag12,Temp_lag1,Month_sin,Month_cos
1959,3,316.65,0.18,8855.112,12,0.0005055451989004478,315.4483333333333,0.03,316.49,315.71,0.07,1.0,6.123233995736766e-17
1959,4,317.72,0.16,8855.112,13,0.0033791252171169184,315.47083333333336,0.041666666666666664,316.65,317.45,0.18,0.8660254037844387,-0.4999999999999998
1959,5,318.29,0.04,8855.112,14,0.0017940324814300634,315.5358333333333,0.04,317.72,317.51,0.16,0.49999999999999994,-0.8660254037844387
1959,6,318.15,0.03,8855.112,15,-0.0004398504508468237,315.6091666666667,0.049999999999999996,318.29,317.27,0.04,1.2246467991473532e-16,-1.0
1959,7,316.54,0.03,8855.112,16,-0.005060506050604929,315.665,0.04833333333333334,318.15,315.87,0.03,-0.4999999999999997,-0.8660254037844388
1959,8,314.8,-0.01,8855.112,17,-0.0054969356163517835,315.6541666666667,0.051666666666666666,316.54,314.93,0.03,-0.8660254037844384,-0.5000000000000004
1959,9,313.84,-0.06,8855.112,18,-0.003049555273189397,315.70666666666665,0.049166666666666664,314.8,313.21,-0.01,-1.0,-1.8369701987210297e-16
1959,10,313.33,-0.07,8855.112,19,-0.001625031863369819,315.78249999999997,0.04,313.84,312.42,-0.06,-0.8660254037844386,0.5000000000000001
1959,11,314.81,-0.08,8855.112,20,0.004723454504835134,315.9058333333333,0.03166666666666667,313.33,313.33,-0.07,-0.5000000000000004,0.8660254037844384
1959,12,315.58,0.0,8855.112,21,0.0024459197611257366,315.9816666666667,0.030833333333333334,314.81,314.67,-0.08,-2.4492935982947064e-16,1.0
1960,1,316.43,0.0,9386.951,22,0.002693453324038364,316.0525,0.02416666666666667,315.58,315.58,0.0,0.49999999999999994,0.8660254037844387
1960,2,316.98,0.13,9386.951,23,0.0017381411370602784,316.0933333333333,0.029166666666666664,316.43,316.49,0.0,0.8660254037844386,0.5000000000000001
1960,3,317.58,-0.35,9386.951,24,0.0018928639030852956,316.17083333333335,-0.015,316.98,316.65,0.13,1.0,6.123233995736766e-17
1960,4,319.03,-0.15,9386.951,25,0.00456577870142949,316.28000000000003,-0.04083333333333333,317.58,317.72,-0.35,0.8660254037844387,-0.4999999999999998
1960,5,320.03,-0.08,9386.951,26,0.0031345014575432373,316.425,-0.050833333333333335,319.03,318.29,-0.15,0.49999999999999994,-0.8660254037844387
1960,6,319.58,-0.04,9386.951,27,-0.0014061181764208897,316.5441666666666,-0.05666666666666667,320.03,318.15,-0.08,1.2246467991473532e-16,-1.0
1960,7,318.18,-0.04,9386.951,28,-0.004380749734025802,316.68083333333334,-0.0625,319.58,316.54,-0.04,-0.4999999999999997,-0.8660254037844388
1960,8,315.9,0.02,9386.951,29,-0.007165755232887094,316.7725,-0.060000000000000005,318.18,314.8,-0.04,-0.8660254037844384,-0.5000000000000004
1960,9,314.17,0.07,9386.951,30,-0.005476416587527622,316.8,-0.049166666666666664,315.9,313.84,0.02,-1.0,-1.8369701987210297e-16
1960,10,313.83,0.06,9386.951,31,-0.00108221663430641,316.84166666666664,-0.03833333333333334,314.17,313.33,0.07,-0.8660254037844386,0.5000000000000001
1960,11,315.0,-0.11,9386.951,32,0.0037281330656726563,316.8575,-0.04083333333333333,313.83,314.81,0.06,-0.5000000000000004,0.8660254037844384
1960,12,316.19,0.19,9386.951,33,0.00377777777777788,316.9083333333333,-0.024999999999999994,315.0,315.58,-0.11,-2.4492935982947064e-16,1.0
1961,1,316.89,0.07,9414.99,34,0.002213858755811371,316.94666666666666,-0.01916666666666666,316.19,316.43,0.19,0.49999999999999994,0.8660254037844387
1961,2,317.7,0.19,9414.99,35,0.002556092019312617,317.00666666666666,-0.014166666666666666,316.89,316.98,0.07,0.8660254037844386,0.5000000000000001
1961,3,318.54,0.09,9414.99,36,0.0026440037771484626,317.08666666666664,0.022500000000000003,317.7,317.58,0.19,1.0,6.123233995736766e-17
1961,4,319.48,0.13,9414.99,37,0.002950963772210713,317.12416666666667,0.04583333333333334,318.54,319.03,0.09,0.8660254037844387,-0.4999999999999998
1961,5,320.58,0.12,9414.99,38,0.003443095029422638,317.17,0.0625,319.48,320.03,0.13,0.49999999999999994,-0.8660254037844387
1961,6,319.77,0.12,9414.99,39,-0.0025266704098820814,317.18583333333333,0.07583333333333334,320.58,319.58,0.12,1.2246467991473532e-16,-1.0
1961,7,318.56,0.01,9414.99,40,-0.0037839697282421314,317.2175,0.08,319.77,318.18,0.12,-0.4999999999999997,-0.8660254037844388
1961,8,316.79,0.01,9414.99,41,-0.0055562531391259995,317.2916666666667,0.07916666666666668,318.56,315.9,0.01,-0.8660254037844384,-0.5000000000000004
1961,9,314.99,0.08,9414.99,42,-0.005681997537801076,317.36,0.08,316.79,314.17,0.01,-1.0,-1.8369701987210297e-16
1961,10,315.31,0.0,9414.99,43,0.0010159052668339275,317.48333333333335,0.075,314.99,313.83,0.08,-0.8660254037844386,0.5000000000000001
1961,11,316.1,0.03,9414.99,44,0.002505470806507981,317.575,0.08666666666666667,315.31,315.0,0.0,-0.5000000000000004,0.8660254037844384
1961,12,317.01,-0.16,9414.99,45,0.002878835811451985,317.6433333333334,0.057499999999999996,316.1,316.19,0.03,-2.4492935982947064e-16,1.0
1962,1,317.94,0.05,9747.241,46,0.0029336613986941096,317.73083333333335,0.05583333333333334,317.01,316.89,-0.16,0.49999999999999994,0.8660254037844387
1962,2,318.55,0.15,9747.241,47,0.0019186009938982895,317.8016666666667,0.05249999999999999,317.94,317.7,0.05,0.8660254037844386,0.5000000000000001
1962,3,319.68,0.1,9747.241,48,0.0035473238110186323,317.8966666666667,0.05333333333333334,318.55,318.54,0.15,1.0,6.123233995736766e-17
1962,4,320.57,0.05,9747.241,49,0.002784034034033933,317.9875,0.04666666666666666,319.68,319.48,0.1,0.8660254037844387,-0.4999999999999998
1962,5,321.02,-0.06,9747.241,50,0.0014037495710765846,318.02416666666664,0.03166666666666667,320.57,320.58,0.05,0.49999999999999994,-0.8660254037844387
1962,6,320.62,0.03,9747.241,51,-0.0012460282848419935,318.095,0.024166666666666666,321.02,319.77,-0.06,1.2246467991473532e-16,-1.0
1962,7,319.61,0.02,9747.241,52,-0.0031501465909798965,318.1825,0.024999999999999998,320.62,318.56,0.03,-0.4999999999999997,-0.8660254037844388
1962,8,317.4,-0.01,9747.241,53,-0.006914677262914282,318.23333333333335,0.02333333333333333,319.61,316.79,0.02,-0.8660254037844384,-0.5000000000000004
1962,9,316.24,0.0,9747.241,54,-0.003654694391934332,318.33750000000003,0.016666666666666666,317.4,314.99,-0.01,-1.0,-1.8369701987210297e-16
1962,10,315.42,0.01,9747.241,55,-0.0025929673665570085,318.34666666666664,0.017499999999999998,316.24,315.31,0.0,-0.8660254037844386,0.5000000000000001
1962,11,316.69,0.06,9747.241,56,0.004026377528374869,318.3958333333333,0.02,315.42,316.1,0.01,-0.5000000000000004,0.8660254037844384
1962,12,317.7,-0.03,9747.241,57,0.0031892386876755108,318.4533333333333,0.030833333333333334,316.69,317.01,0.06,-2.4492935982947064e-16,1.0
1963,1,318.74,-0.03,10266.777,58,0.003273528485993049,318.52,0.024166666666666666,317.7,317.94,-0.03,0.49999999999999994,0.8660254037844387
1963,2,319.07,0.18,10266.777,59,0.0010353265984814897,318.56333333333333,0.02666666666666667,318.74,318.55,-0.03,0.8660254037844386,0.5000000000000001
1963,3,319.86,-0.14,10266.777,60,0.002475945717240746,318.5783333333333,0.006666666666666665,319.07,319.68,0.18,1.0,6.123233995736766e-17
1963,4,321.38,-0.07,10266.777,61,0.004752079034577639,318.6458333333333,-0.0033333333333333353,319.86,320.57,-0.14,0.8660254037844387,-0.4999999999999998
1963,5,322.24,-0.06,10266.777,62,0.00267595992283276,318.7475,-0.0033333333333333353,321.38,321.02,-0.07,0.49999999999999994,-0.8660254037844387
1963,6,321.49,0.05,10266.777,63,-0.0023274577954319753,318.82,-0.001666666666666668,322.24,320.62,-0.06,1.2246467991473532e-16,-1.0
1963,7,319.74,0.06,10266.777,64,-0.005443404149429232,318.8308333333334,0.0016666666666666646,321.49,319.61,0.05,-0.4999999999999997,-0.8660254037844388
1963,8,317.77,0.22,10266.777,65,-0.006161256020516759,318.8616666666667,0.020833333333333332,319.74,317.4,0.06,-0.8660254037844384,-0.5000000000000004
1963,9,316.21,0.17,10266.777,66,-0.004909211064606511,318.8591666666667,0.034999999999999996,317.77,316.24,0.22,-1.0,-1.8369701987210297e-16
1963,10,315.99,0.15,10266.777,67,-0.0006957401726699342,318.9066666666667,0.04666666666666666,316.21,315.42,0.17,-0.8660254037844386,0.5000000000000001
